Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	Heart rate increased	29/73	5.740571e-01	7.933452e-01	9.971948e-01	5.534695e-01	SCN5A_9606;HTR3A_9606;HTR3A_10116;HTR1A_9606;OPRM1_10090;OPRK1_10141;HTR1A_10116;ADRA1A_10116;OPRK1_10090;ADRB1_10090;HTR3A_10141;SLC6A2_10090;HTR3A_10090;ADRA1A_9913;HTR2A_9606;ADRA2B_10116;OPRK1_10116;ACHE_10116;ADRA1A_9986;HRH1_10116;ADRB2_9913;ACHE_10090;HTR2A_10116;HRH1_9606;CHRNA4_10116;CHRNA4_9606;OPRK1_9606;ADRA1A_9606;HTR1A_10090
gs_ind_0	Hypercholesterolaemia	12/17	7.652006e-03	9.218846e-02	1.924755e+00	9.378920e+00	DRD2_9606;DRD2_10090;DRD2_9534;HTR2A_9606;DRD2_9913;DRD2_10116;HRH1_10116;HTR2C_9606;DRD1_10116;HTR2C_10116;HTR2A_10116;HRH1_9606
gs_ind_0	Hyperesthesia	9/18	2.504827e-01	4.912569e-01	1.315644e+00	1.821332e+00	HTR2A_9606;OPRM1_10090;OPRK1_10116;HTR2B_9606;HTR2B_10116;OPRK1_9606;OPRK1_10141;HTR2A_10116;OPRK1_10090
gs_ind_0	Hyperglycemia	8/13	8.868425e-02	2.770014e-01	1.635225e+00	3.961616e+00	HTR3A_9606;HTR3A_10116;HTR3A_10090;ADRA1A_9986;HTR3A_10141;ADRA1A_9606;ADRA1A_10116;ADRA1A_9913
gs_ind_0	Hyperhidrosis	22/48	2.116043e-01	4.319550e-01	1.216216e+00	1.888829e+00	OPRM1_10090;SLC6A3_10090;SLC6A4_10116;OPRK1_10141;SLC6A4_10090;ADRA1A_10116;OPRK1_10090;SLC6A3_10116;SLC6A2_10090;ADRA1A_9913;HTR2A_9606;OPRK1_10116;ACHE_10116;ADRA1A_9986;HRH1_10116;ACHE_10090;HTR2A_10116;HRH1_9606;SLC6A4_9606;OPRK1_9606;ADRA1A_9606;SLC6A3_9606
gs_ind_0	Hyperprolactinaemia	8/12	5.076314e-02	1.945920e-01	1.775827e+00	5.293004e+00	DRD2_9606;DRD2_10090;DRD2_9534;HTR2A_9606;DRD2_9913;DRD2_10116;DRD1_10116;HTR2A_10116
gs_ind_0	Hyperreflexia	2/4	5.239010e-01	7.446458e-01	1.394408e+00	9.014184e-01	HTR2A_9606;HTR2A_10116
gs_ind_0	Hypersensitivity	2/6	7.691943e-01	9.596076e-01	9.551707e-01	2.506480e-01	HRH1_10116;HRH1_9606
gs_ind_0	Hypersomnia	7/10	4.937034e-02	1.945920e-01	1.859169e+00	5.593135e+00	HTR2A_9606;HTR1A_9606;HRH1_10116;HTR1A_10116;HTR2A_10116;HTR1A_10090;HRH1_9606
gs_ind_0	Hypertension	5/13	6.500079e-01	8.794224e-01	1.014304e+00	4.369325e-01	ADRA2B_10116;ADRA1A_9986;ADRA1A_9606;ADRA1A_10116;ADRA1A_9913
gs_ind_0	Hyperthermia	14/21	8.312530e-03	9.559410e-02	1.832082e+00	8.775657e+00	HTR7_10116;DRD2_10090;DRD2_9606;DRD2_9534;HTR2A_9606;DRD2_9913;DRD2_10116;HRH1_10116;HTR2C_9606;DRD1_10116;HTR2C_10116;HTR2A_10116;HRH1_9606;HTR7_9606
gs_ind_0	Hypoaesthesia oral	3/4	1.755910e-01	3.702044e-01	1.978374e+00	3.441575e+00	SCN5A_9606;SCN2A_9606;SCN2A_10116
gs_ind_0	Hypokinesia	2/3	3.497460e-01	5.875644e-01	1.802271e+00	1.893372e+00	TACR1_10141;TACR1_10116
gs_ind_0	Hypomania	4/6	1.741206e-01	3.702044e-01	1.766091e+00	3.087139e+00	SLC6A4_10116;SLC6A4_9606;SLC6A4_10090;SLC6A2_10090
gs_ind_0	Hyponatremia	3/3	6.201171e-02	2.091862e-01	2.557047e+00	7.109696e+00	AVPR1A_10090;AVPR1A_10116;AVPR1A_9606
gs_ind_0	Hyporeflexia	2/6	7.691943e-01	9.596076e-01	9.551707e-01	2.506480e-01	HRH1_10116;HRH1_9606
gs_ind_0	Hypotension	4/13	8.383798e-01	9.999898e-01	8.185941e-01	1.443051e-01	CHRNA1_9606;CHRNA4_10116;CHRNA4_9606;GABRA1_9606
gs_ind_0	Hypothermia	18/27	2.363150e-03	4.270550e-02	1.882506e+00	1.138494e+01	DRD2_10090;DRD2_9606;CNR1_9606;DRD2_9534;SIGMAR1_9606;DRD2_9913;OPRM1_10090;OPRK1_10090;OPRK1_10116;DRD2_10116;CNR1_10090;SIGMAR1_10116;OPRK1_9606;OPRK1_10141;DRD1_10116;CNR1_10116;SIGMAR1_10141;SIGMAR1_10090
gs_ind_0	Hypotonia	8/10	1.027332e-02	9.996727e-02	2.137376e+00	9.785346e+00	ADRB1_10090;CHRNA4_9606;ADRA1A_9986;ADRA1A_9606;ADRA1A_10116;GABRA1_9606;CHRNA4_10116;ADRA1A_9913
gs_ind_0	Ileus paralytic	15/24	1.486307e-02	1.172267e-01	1.715755e+00	7.221399e+00	DRD2_10090;DRD2_9606;SCN5A_9606;HTR3A_9606;HTR3A_10116;DRD2_9913;DRD2_9534;SLC6A4_9606;OPRM1_10090;DRD2_10116;SLC6A4_10116;HTR3A_10141;SLC6A4_10090;SLC6A2_10090;HTR3A_10090
gs_ind_0	Impaired healing	3/7	5.801141e-01	7.933452e-01	1.168233e+00	6.361383e-01	SCN5A_9606;SCN2A_9606;SCN2A_10116
gs_ind_0	Inappropriate antidiuretic hormone secretion	4/4	2.415193e-02	1.328356e-01	2.578231e+00	9.599763e+00	OPRK1_9606;OPRK1_10116;OPRK1_10141;OPRK1_10090
gs_ind_0	Incontinence	3/7	5.801141e-01	7.933452e-01	1.168233e+00	6.361383e-01	ACHE_10090;ACHE_10116;GABRA1_9606
gs_ind_0	Increased appetite	10/18	1.212554e-01	3.465406e-01	1.475676e+00	3.113463e+00	CNR1_9606;OPRK1_10116;CNR1_10090;HRH1_10116;OPRK1_9606;OPRK1_10141;GABRA1_9606;CNR1_10116;HRH1_9606;OPRK1_10090
gs_ind_0	Increased bronchial secretion	2/13	9.893253e-01	9.999898e-01	4.427275e-01	4.751370e-03	ACHE_10090;ACHE_10116
gs_ind_0	Increased viscosity of bronchial secretion	2/3	3.497460e-01	5.875644e-01	1.802271e+00	1.893372e+00	HRH1_10116;HRH1_9606
gs_ind_0	Inflammation	4/18	9.726128e-01	9.999898e-01	5.808053e-01	1.612852e-02	TACR1_10141;HRH1_10116;HRH1_9606;TACR1_10116
gs_ind_0	Injection site irritation	9/16	1.301240e-01	3.465406e-01	1.491927e+00	3.042438e+00	SIGMAR1_10090;SIGMAR1_9606;OPRM1_10090;OPRK1_10116;SIGMAR1_10116;OPRK1_9606;OPRK1_10141;SIGMAR1_10141;OPRK1_10090
gs_ind_0	Injection site pain	9/16	1.301240e-01	3.465406e-01	1.491927e+00	3.042438e+00	SIGMAR1_10090;SIGMAR1_9606;OPRM1_10090;OPRK1_10116;SIGMAR1_10116;OPRK1_9606;OPRK1_10141;SIGMAR1_10141;OPRK1_10090
gs_ind_0	Insomnia	31/45	7.155885e-06	1.810439e-03	2.210918e+00	2.619402e+01	DRD2_9913;HTR1A_9606;HTR2B_10116;SLC6A4_10116;HTR1A_10116;SLC6A4_10090;HTR7_9606;ADRA1A_10116;HTR7_10116;SLC6A3_10116;SLC6A3_9606;DRD1_10116;HTR2C_10116;SLC6A2_10090;ADRA1A_9913;DRD2_10090;HTR2A_9606;HTR2B_9606;ADRA1A_9986;HRH1_10116;HTR2A_10116;HRH1_9606;DRD2_9606;DRD2_9534;SLC6A4_9606;DRD2_10116;HTR2C_9606;ADRA1A_9606;GABRA1_9606;HTR1A_10090;SLC6A3_10090
gs_ind_0	Intracranial pressure increased	9/19	3.215947e-01	5.875644e-01	1.241063e+00	1.407940e+00	SIGMAR1_9606;OPRM1_10090;OPRK1_10090;OPRK1_10116;SIGMAR1_10116;OPRK1_9606;OPRK1_10141;SIGMAR1_10141;SIGMAR1_10090
gs_ind_0	Intranasal paraesthesia	5/8	1.671366e-01	3.702044e-01	1.655578e+00	2.961736e+00	ADRA2B_10116;ADRA1A_9986;ADRA1A_9606;ADRA1A_10116;ADRA1A_9913
gs_ind_0	Irritability	7/15	3.834353e-01	6.139819e-01	1.225120e+00	1.174381e+00	CHRNA4_9606;ADRA1A_9986;ADRA1A_9913;ADRA1A_9606;GABRA1_9606;CHRNA4_10116;ADRA1A_10116
gs_ind_0	Irritable bowel syndrome	8/9	3.071233e-03	5.180146e-02	2.375237e+00	1.374235e+01	DRD2_9606;DRD2_10090;DRD2_9534;SLC6A4_9606;DRD2_9913;DRD2_10116;SLC6A4_10116;SLC6A4_10090
gs_ind_0	Jaundice	1/5	9.242732e-01	9.999898e-01	6.720143e-01	5.291953e-02	GABRA1_9606
gs_ind_0	Keratitis	3/4	1.755910e-01	3.702044e-01	1.978374e+00	3.441575e+00	SCN5A_9606;SCN2A_9606;SCN2A_10116
gs_ind_0	Lacrimation increased	2/13	9.893253e-01	9.999898e-01	4.427275e-01	4.751370e-03	ACHE_10090;ACHE_10116
gs_ind_0	Laryngospasm	3/3	6.201171e-02	2.091862e-01	2.557047e+00	7.109696e+00	CHRNA4_10116;CHRNA4_9606;GABRA1_9606
gs_ind_0	Lenticular opacities	8/12	5.076314e-02	1.945920e-01	1.775827e+00	5.293004e+00	DRD2_9606;DRD2_10090;DRD2_9534;HTR2A_9606;DRD2_9913;DRD2_10116;DRD1_10116;HTR2A_10116
gs_ind_0	Libido disorder	4/7	2.846764e-01	5.335046e-01	1.522449e+00	1.912808e+00	SLC6A4_10116;SLC6A4_9606;SLC6A4_10090;GABRA1_9606
gs_ind_0	Lipid metabolism disorder	10/14	1.393928e-02	1.171444e-01	1.925670e+00	8.228476e+00	DRD2_9606;DRD2_10090;DRD2_9534;HTR2A_9606;DRD2_9913;DRD2_10116;HTR2C_9606;DRD1_10116;HTR2C_10116;HTR2A_10116
gs_ind_0	Loss of consciousness	3/4	1.755910e-01	3.702044e-01	1.978374e+00	3.441575e+00	SCN5A_9606;SCN2A_9606;SCN2A_10116
gs_ind_0	Lung disorder	4/6	1.741206e-01	3.702044e-01	1.766091e+00	3.087139e+00	CHRNA1_9606;CHRNA4_10116;ADRB1_10090;CHRNA4_9606
gs_ind_0	Mania	6/13	4.208221e-01	6.572098e-01	1.215488e+00	1.052060e+00	SLC6A4_9606;HTR2A_9606;SLC6A4_10116;HTR2A_10116;SLC6A4_10090;SLC6A2_10090
gs_ind_0	Memory impairment	22/40	2.294085e-02	1.328356e-01	1.536537e+00	5.800173e+00	HRH3_10090;HTR3A_9606;HTR3A_10116;HTR1A_9606;OPRM1_10090;HTR1A_10116;CNR1_10116;HTR7_9606;HTR7_10116;HTR3A_10141;HTR2C_10116;HRH3_9606;HTR3A_10090;CNR1_9606;HTR2A_9606;CNR1_10090;HTR2A_10116;HRH3_10116;HTR2C_9606;GABRA1_9606;HTR1A_10090;HRH3_10141
gs_ind_0	Menstrual disorder	6/16	6.761187e-01	9.050690e-01	9.779614e-01	3.827610e-01	DRD2_9606;DRD2_10090;DRD2_9534;DRD2_9913;DRD2_10116;DRD1_10116
gs_ind_0	Mental disorder	5/12	5.618595e-01	7.897247e-01	1.101517e+00	6.350285e-01	OPRM1_10090;OPRK1_10116;OPRK1_9606;OPRK1_10141;OPRK1_10090
gs_ind_0	Metabolic disorder	1/3	7.851335e-01	9.596076e-01	1.067227e+00	2.581638e-01	ADRB1_10090
gs_ind_0	Methaemoglobinaemia	3/4	1.755910e-01	3.702044e-01	1.978374e+00	3.441575e+00	SCN5A_9606;SCN2A_9606;SCN2A_10116
gs_ind_0	Miosis	20/33	7.110395e-03	9.218846e-02	1.708112e+00	8.448657e+00	DRD2_9913;HTR1A_9606;OPRM1_10090;OPRK1_10141;HTR1A_10116;OPRK1_10090;SIGMAR1_10090;DRD1_10116;DRD2_10090;SIGMAR1_9606;HTR2A_9606;OPRK1_10116;HTR2A_10116;DRD2_9606;DRD2_9534;DRD2_10116;SIGMAR1_10116;OPRK1_9606;HTR1A_10090;SIGMAR1_10141
gs_ind_0	Mood altered	11/22	2.117092e-01	4.319550e-01	1.318129e+00	2.046450e+00	SIGMAR1_10090;SIGMAR1_9606;OPRM1_10090;OPRK1_10116;ACHE_10116;SIGMAR1_10116;OPRK1_9606;OPRK1_10141;ACHE_10090;SIGMAR1_10141;OPRK1_10090
gs_ind_0	Muscle contractions involuntary	4/12	7.804192e-01	9.596076e-01	8.889796e-01	2.203995e-01	ACHE_10116;ACHE_10090;HTR2A_9606;HTR2A_10116
gs_ind_0	Muscle rigidity	1/5	9.242732e-01	9.999898e-01	6.720143e-01	5.291953e-02	OPRM1_10090
gs_ind_0	Muscle spasms	5/19	9.390613e-01	9.999898e-01	6.788683e-01	4.268352e-02	OPRK1_10116;OPRM1_10090;OPRK1_9606;OPRK1_10141;OPRK1_10090
gs_ind_0	Muscle twitching	3/4	1.755910e-01	3.702044e-01	1.978374e+00	3.441575e+00	SCN5A_9606;SCN2A_9606;SCN2A_10116
gs_ind_0	Muscular weakness	2/6	7.691943e-01	9.596076e-01	9.551707e-01	2.506480e-01	HRH1_10116;HRH1_9606
gs_ind_0	Mydriasis	23/50	1.956046e-01	4.089914e-01	1.225270e+00	1.999224e+00	SCN5A_9606;DRD2_9913;HTR1A_9606;OPRM1_10090;SLC6A3_10090;HTR1A_10116;ADRA1A_10116;SLC6A3_10116;DRD1_10116;SLC6A2_10090;ADRA1A_9913;DRD2_10090;HTR2A_9606;ACHE_10116;ADRA1A_9986;ACHE_10090;HTR2A_10116;DRD2_9606;DRD2_9534;DRD2_10116;ADRA1A_9606;HTR1A_10090;SLC6A3_9606
gs_ind_0	Myocardial depression	3/4	1.755910e-01	3.702044e-01	1.978374e+00	3.441575e+00	SCN5A_9606;SCN2A_9606;SCN2A_10116
gs_ind_0	Myocardial infarction	1/12	9.982515e-01	9.999898e-01	2.847059e-01	4.982493e-04	ADRB2_9913
gs_ind_0	Myoclonus	2/4	5.239010e-01	7.446458e-01	1.394408e+00	9.014184e-01	HTR2A_9606;HTR2A_10116
gs_ind_0	Myopathy	2/3	3.497460e-01	5.875644e-01	1.802271e+00	1.893372e+00	HRH1_10116;HRH1_9606
gs_ind_0	Nasal discomfort	4/6	1.741206e-01	3.702044e-01	1.766091e+00	3.087139e+00	ADRA1A_9986;ADRA1A_9606;ADRA1A_10116;ADRA1A_9913
gs_ind_0	Nasal dryness	5/8	1.671366e-01	3.702044e-01	1.655578e+00	2.961736e+00	ADRA2B_10116;ADRA1A_9986;ADRA1A_9606;ADRA1A_10116;ADRA1A_9913
gs_ind_0	Nausea	8/22	7.194731e-01	9.530193e-01	9.322142e-01	3.069187e-01	SLC6A4_9606;CHRNA4_9606;ACHE_10116;SLC6A4_10116;ACHE_10090;DRD1_10116;SLC6A4_10090;CHRNA4_10116
gs_ind_0	Nervous system disorder	4/6	1.741206e-01	3.702044e-01	1.766091e+00	3.087139e+00	ADRA1A_9986;ADRA1A_9606;ADRA1A_10116;ADRA1A_9913
gs_ind_0	Nervousness	14/17	2.445914e-04	1.008734e-02	2.303037e+00	1.915188e+01	CNR1_9606;SCN5A_9606;SLC6A4_9606;SCN2A_9606;SLC6A3_10116;CNR1_10090;SLC6A4_10116;HRH1_10116;SLC6A3_10090;SCN2A_10116;CNR1_10116;SLC6A3_9606;SLC6A4_10090;HRH1_9606
gs_ind_0	Neuroleptic malignant syndrome	12/18	1.529044e-02	1.172267e-01	1.810398e+00	7.568419e+00	HTR7_10116;DRD2_9606;DRD2_10090;DRD2_9534;HTR2A_9606;DRD2_9913;DRD2_10116;HTR2C_9606;DRD1_10116;HTR2C_10116;HTR2A_10116;HTR7_9606
gs_ind_0	Neuropathy peripheral	2/6	7.691943e-01	9.596076e-01	9.551707e-01	2.506480e-01	ACHE_10090;ACHE_10116
gs_ind_0	Neurosis	1/4	8.722110e-01	9.999898e-01	8.257081e-01	1.128941e-01	ADRA2B_10116
gs_ind_0	Neurotoxicity	2/9	9.332670e-01	9.999898e-01	6.430812e-01	4.441370e-02	ADRB2_9913;ADRB1_10090
gs_ind_0	Neutropenia	1/3	7.851335e-01	9.596076e-01	1.067227e+00	2.581638e-01	DRD1_10116
gs_ind_0	Nightmare	3/3	6.201171e-02	2.091862e-01	2.557047e+00	7.109696e+00	HTR1A_9606;HTR1A_10090;HTR1A_10116
gs_ind_0	Nystagmus	4/5	8.344555e-02	2.638965e-01	2.098330e+00	5.211331e+00	SCN5A_9606;CHRNA4_10116;CHRNA4_9606;GABRA1_9606
gs_ind_0	Oedema peripheral	5/9	2.598977e-01	4.981373e-01	1.473321e+00	1.985252e+00	AVPR1A_10090;UTS2R_9606;UTS2R_10116;AVPR1A_9606;AVPR1A_10116
gs_ind_0	Oliguria	9/21	4.721144e-01	7.053923e-01	1.112714e+00	8.351299e-01	SIGMAR1_9606;OPRM1_10090;OPRK1_10090;OPRK1_10116;SIGMAR1_10116;OPRK1_9606;OPRK1_10141;SIGMAR1_10141;SIGMAR1_10090
gs_ind_0	Orthostatic hypotension	31/52	6.597385e-04	1.854598e-02	1.825806e+00	1.337160e+01	DRD2_9913;HTR1A_9606;OPRM1_10090;HTR2B_10116;SLC6A4_10116;OPRK1_10141;HTR1A_10116;SLC6A4_10090;HTR7_9606;ADRA1A_10116;HTR7_10116;OPRK1_10090;DRD1_10116;HTR2C_10116;SLC6A2_10090;ADRA1A_9913;DRD2_10090;HTR2A_9606;ADRA2B_10116;HTR2B_9606;OPRK1_10116;ADRA1A_9986;HTR2A_10116;DRD2_9606;DRD2_9534;SLC6A4_9606;DRD2_10116;OPRK1_9606;ADRA1A_9606;HTR2C_9606;HTR1A_10090
gs_ind_0	Pain	6/24	9.683255e-01	9.999898e-01	6.289425e-01	2.024379e-02	HTR7_10116;TACR1_10116;TACR1_10141;HRH1_10116;HRH1_9606;HTR7_9606
gs_ind_0	Pallor	5/8	1.671366e-01	3.702044e-01	1.655578e+00	2.961736e+00	ADRA2B_10116;ADRA1A_9986;ADRA1A_9606;ADRA1A_10116;ADRA1A_9913
gs_ind_0	Palpitations	17/39	3.630332e-01	5.887654e-01	1.131394e+00	1.146398e+00	SLC6A4_9606;ADRB1_10090;CHRNA4_9606;SLC6A3_10116;ACHE_10116;SLC6A3_9606;SLC6A4_10116;ADRA1A_9913;ADRA1A_9986;ADRB2_9913;ACHE_10090;ADRA1A_9606;SLC6A3_10090;SLC6A4_10090;CHRNA4_10116;SLC6A2_10090;ADRA1A_10116
gs_ind_0	Paralysis	4/8	4.022161e-01	6.320539e-01	1.336134e+00	1.216906e+00	CHRNA4_10116;ACHE_10090;ACHE_10116;CHRNA4_9606
gs_ind_0	Paresthesia	3/3	6.201171e-02	2.091862e-01	2.557047e+00	7.109696e+00	HTR1A_9606;HTR1A_10090;HTR1A_10116
gs_ind_0	Parkinsonism	17/22	1.868474e-04	9.454479e-03	2.204775e+00	1.892847e+01	HTR7_10116;DRD2_10090;HRH1_9606;DRD2_9606;DRD2_9534;HTR2A_9606;DRD2_9913;DRD2_10116;SLC6A3_10116;SLC6A3_9606;HRH1_10116;HTR2C_9606;DRD1_10116;HTR2C_10116;HTR2A_10116;SLC6A3_10090;HTR7_9606
gs_ind_0	Peripheral coldness	5/10	3.615316e-01	5.887654e-01	1.325780e+00	1.348856e+00	ADRB1_10090;HTR1A_9606;ADRB2_9913;HTR1A_10116;HTR1A_10090
gs_ind_0	Photosensitivity reaction	3/6	4.534979e-01	6.870358e-01	1.355188e+00	1.071635e+00	HRH1_10116;HRH1_9606;DRD1_10116
gs_ind_0	Polydipsia	2/5	6.639621e-01	8.935235e-01	1.134859e+00	4.647588e-01	HRH1_10116;HRH1_9606
gs_ind_0	Presyncope	4/5	8.344555e-02	2.638965e-01	2.098330e+00	5.211331e+00	CHRNA1_9606;SCN5A_9606;SCN2A_9606;SCN2A_10116
gs_ind_0	Priapism	9/14	5.068414e-02	1.945920e-01	1.716839e+00	5.119857e+00	HTR1A_9606;ADRA1A_9986;HTR2C_9606;ADRA1A_9606;ADRA1A_9913;HTR1A_10116;HTR2C_10116;HTR1A_10090;ADRA1A_10116
gs_ind_0	Pruritus	7/26	9.550603e-01	9.999898e-01	6.724207e-01	3.091843e-02	OPRK1_10116;OPRM1_10090;HRH1_10116;OPRK1_9606;OPRK1_10141;HRH1_9606;OPRK1_10090
gs_ind_0	Psychomotor hyperactivity	14/23	2.590031e-02	1.394208e-01	1.656726e+00	6.052851e+00	DRD2_10090;DRD2_9606;DRD2_9534;SLC6A4_9606;DRD2_9913;HTR1A_9606;DRD2_10116;SLC6A4_10116;HRH1_10116;DRD1_10116;HTR1A_10116;HTR1A_10090;HRH1_9606;SLC6A4_10090
gs_ind_0	Psychotic disorder	20/39	7.537088e-02	2.467164e-01	1.394496e+00	3.605239e+00	HTR1A_9606;SLC6A4_10116;HTR1A_10116;SLC6A4_10090;ADRA1A_10116;ADRB1_10090;SLC6A3_10116;SLC6A3_9606;DRD1_10116;HTR2C_10116;SLC6A2_10090;ADRA1A_9913;HTR2A_9606;ADRA1A_9986;HTR2A_10116;SLC6A4_9606;HTR2C_9606;ADRA1A_9606;HTR1A_10090;SLC6A3_10090
gs_ind_0	Pulmonary hypertension	5/6	3.810801e-02	1.854101e-01	2.188329e+00	7.149995e+00	SLC6A4_9606;HTR2B_9606;HTR2B_10116;SLC6A4_10116;SLC6A4_10090
gs_ind_0	Pulmonary oedema	4/4	2.415193e-02	1.328356e-01	2.578231e+00	9.599763e+00	ADRA1A_9986;ADRA1A_9913;ADRA1A_9606;ADRA1A_10116
gs_ind_0	Rash	2/9	9.332670e-01	9.999898e-01	6.430812e-01	4.441370e-02	HRH1_10116;HRH1_9606
gs_ind_0	Raynaud's phenomenon	5/10	3.615316e-01	5.887654e-01	1.325780e+00	1.348856e+00	ADRB1_10090;HTR1A_9606;ADRB2_9913;HTR1A_10116;HTR1A_10090
gs_ind_0	Respiration abnormal	1/4	8.722110e-01	9.999898e-01	8.257081e-01	1.128941e-01	ADRA2B_10116
gs_ind_0	Respiratory depression	12/21	7.148753e-02	2.379782e-01	1.531156e+00	4.039544e+00	SIGMAR1_10090;SIGMAR1_9606;CHRNA4_9606;OPRM1_10090;OPRK1_10116;SIGMAR1_10116;OPRK1_9606;OPRK1_10141;GABRA1_9606;SIGMAR1_10141;CHRNA4_10116;OPRK1_10090
gs_ind_0	Respiratory disorder	8/12	5.076314e-02	1.945920e-01	1.775827e+00	5.293004e+00	CHRNA4_9606;OPRK1_10116;OPRM1_10090;OPRK1_9606;OPRK1_10141;GABRA1_9606;CHRNA4_10116;OPRK1_10090
gs_ind_0	Respiratory failure	6/7	1.686967e-02	1.255302e-01	2.260606e+00	9.228332e+00	CHRNA1_9606;SCN5A_9606;SCN2A_9606;CHRNA4_9606;SCN2A_10116;CHRNA4_10116
gs_ind_0	Respiratory rate increased	1/8	9.845873e-01	9.999898e-01	4.279123e-01	6.646652e-03	GABRA1_9606
gs_ind_0	Restless legs syndrome	4/4	2.415193e-02	1.328356e-01	2.578231e+00	9.599763e+00	ADRA1A_9986;ADRA1A_9913;ADRA1A_9606;ADRA1A_10116
gs_ind_0	Restlessness	12/19	2.763665e-02	1.426953e-01	1.707771e+00	6.128527e+00	OPRM1_10090;SLC6A3_10116;OPRK1_10116;SLC6A3_10090;ADRA1A_9986;ADRA1A_9913;OPRK1_9606;ADRA1A_9606;OPRK1_10141;ADRA1A_10116;SLC6A3_9606;OPRK1_10090
gs_ind_0	Salivary hypersecretion	5/18	9.150490e-01	9.999898e-01	7.196645e-01	6.389016e-02	CHRNA1_9606;CHRNA4_9606;ACHE_10116;ACHE_10090;CHRNA4_10116
gs_ind_0	Schizophrenia	7/13	2.189704e-01	4.396786e-01	1.422380e+00	2.160337e+00	SLC6A4_9606;HTR2A_9606;SLC6A4_10116;DRD1_10116;HTR2A_10116;SLC6A4_10090;SLC6A2_10090
gs_ind_0	Sedation	8/12	5.076314e-02	1.945920e-01	1.775827e+00	5.293004e+00	HRH3_10090;ADRA2B_10116;HRH1_10116;GABRA1_9606;HRH3_10116;HRH1_9606;HRH3_9606;HRH3_10141
gs_ind_0	Seizure	25/58	3.302255e-01	5.875644e-01	1.125031e+00	1.246511e+00	SCN5A_9606;ADORA1_9986;DRD2_9913;OPRM1_10090;SLC6A3_10090;OPRK1_10141;CNR1_10116;OPRK1_10090;SLC6A3_10116;DRD1_10116;HTR2C_10116;DRD2_10090;CNR1_9606;OPRK1_10116;ACHE_10116;CNR1_10090;HRH1_10116;ACHE_10090;HRH1_9606;DRD2_9606;DRD2_9534;DRD2_10116;HTR2C_9606;OPRK1_9606;SLC6A3_9606
gs_ind_0	Sensitisation	3/4	1.755910e-01	3.702044e-01	1.978374e+00	3.441575e+00	SCN5A_9606;SCN2A_9606;SCN2A_10116
gs_ind_0	Serotonin syndrome	2/4	5.239010e-01	7.446458e-01	1.394408e+00	9.014184e-01	HTR2A_9606;HTR2A_10116
gs_ind_0	Sexual dysfunction	15/20	8.881472e-04	2.247012e-02	2.098927e+00	1.474784e+01	DRD2_10090;DRD2_9606;DRD2_9534;SLC6A4_9606;DRD2_9913;DRD2_10116;TACR1_10116;SLC6A4_10116;ADRA1A_9913;ADRA1A_9986;TACR1_10141;ADRA1A_9606;SLC6A4_10090;SLC6A2_10090;ADRA1A_10116
gs_ind_0	Shock	11/18	4.802659e-02	1.945920e-01	1.640520e+00	4.980620e+00	SIGMAR1_10090;SIGMAR1_9606;CHRNA4_9606;OPRM1_10090;OPRK1_10116;SIGMAR1_10116;OPRK1_9606;OPRK1_10141;SIGMAR1_10141;CHRNA4_10116;OPRK1_10090
gs_ind_0	Skin sensitisation	2/3	3.497460e-01	5.875644e-01	1.802271e+00	1.893372e+00	HRH1_10116;HRH1_9606
gs_ind_0	Sleep apnoea syndrome	4/7	2.846764e-01	5.335046e-01	1.522449e+00	1.912808e+00	HRH3_10116;HRH3_10090;HRH3_9606;HRH3_10141
gs_ind_0	Sleep disorder	10/20	2.301391e-01	4.584661e-01	1.316531e+00	1.934078e+00	SLC6A4_9606;ADRB1_10090;SLC6A4_10116;ADRA1A_9913;ADRA1A_9986;ADRB2_9913;ADRA1A_9606;SLC6A4_10090;SLC6A2_10090;ADRA1A_10116
gs_ind_0	Sneezing	5/8	1.671366e-01	3.702044e-01	1.655578e+00	2.961736e+00	ADRA2B_10116;ADRA1A_9986;ADRA1A_9606;ADRA1A_10116;ADRA1A_9913
gs_ind_0	Somnolence	16/28	3.643445e-02	1.807435e-01	1.557980e+00	5.160405e+00	DRD2_10090;DRD2_9606;CNR1_9606;DRD2_9534;DRD2_9913;OPRM1_10090;OPRK1_10116;DRD2_10116;CNR1_10090;HRH1_10116;OPRK1_9606;OPRK1_10141;GABRA1_9606;CNR1_10116;HRH1_9606;OPRK1_10090
gs_ind_0	Sudden death	5/8	1.671366e-01	3.702044e-01	1.655578e+00	2.961736e+00	ADRA1A_9986;ADRB2_9913;ADRA1A_9606;ADRA1A_10116;ADRA1A_9913
gs_ind_0	Suicidal ideation	1/3	7.851335e-01	9.596076e-01	1.067227e+00	2.581638e-01	DRD1_10116
gs_ind_0	Swollen tongue	2/3	3.497460e-01	5.875644e-01	1.802271e+00	1.893372e+00	HRH1_10116;HRH1_9606
