smiles,A,V,N,H,J,B,S,C,D,R,G,P,M,L
C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2C3=C4C(=CNC4=CC=C3)CC21,0,0,1,0,0,0,0,0,0,0,1,0,0,0
CC(C)CC(NC(=O)CNC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CO)NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(CC1=CN=CN1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(N)=O,0,1,0,1,0,0,0,0,0,0,0,0,0,0
CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CO)NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(CC1=CN=CN1)NC(=O)C1CCC(=O)N1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CC(C)CC(NC(=O)C(CC1=CC=C2C=CC=CC2=C1)NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CO)NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(CC1=CN=CN1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(N)=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OCC1OC([S-])C(O)C(O)C1O,0,0,0,0,0,0,0,0,0,0,0,0,1,0
O=C([O-])CC([S-])C(=O)[O-],0,0,0,0,0,0,0,0,0,0,0,0,1,0
CN(C)CCOC(=O)COC1=CC=C(Cl)C=C1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC[N+](C)(C)C1=CC=CC(O)=C1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CN(C)C(=O)OC1=CC=CC([N+](C)(C)C)=C1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
CNCC(O)C1=CC=C(O)C(O)=C1,1,0,0,0,0,1,1,1,0,1,0,0,0,0
C1=CC=C(CC2=NCCN2)C=C1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
CN(C)CCOC(=O)C(C1=CC=CC=C1)C1(O)CCCC1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CN1CCCN=C1COC(=O)C(O)(C1=CC=CC=C1)C1CCCCC1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCOC(C(=O)OC1CCN(C)CC1)(C1=CC=CC=C1)C1=CC=CC=C1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)CC(O)CC1O,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NC(CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(=O)[O-],0,0,0,1,0,0,0,0,0,0,0,0,0,0
NC(CC1=CC(I)=C(OC2=CC=C(O)C(I)=C2)C(I)=C1)C(=O)[O-],0,0,0,1,0,0,0,0,0,0,0,0,0,0
CC(=O)NC1=C(I)C(NC(C)=O)=C(I)C(C(=O)[O-])=C1I,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CCC(CC1=C(I)C(N)=C(I)C=C1I)C(=O)O,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CN(C)C=NC1=C(I)C=C(I)C(CCC(=O)[O-])=C1I,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNCC(O)C1=CC=C(OC(=O)C(C)(C)C)C(OC(=O)C(C)(C)C)=C1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CNC(C)(C)CC1=CC=CC=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CC(N)C(O)C1=CC=CC(O)=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
COC1=CC=C(OC)C(C(O)C(C)N)=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CC1=CC(C(C)(C)C)=C(O)C(C)=C1CC1=NCCN1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
CCOC1=CC=CC=C1OCCNC(C)CC1=CC=C(OC)C(S(N)(=O)=O)=C1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CC(C)(C)NCC(O)COC1=CC=CC2=C1CCCC2=O,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ClC1=CC=CC=C1CN1CCC2=C(C=CS2)C1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CCCCS(=O)(=O)NC(CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(=O)O,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CC1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
COC1=CC=C2C(=C1OC)C(=O)OC2C1C2=C(OC)C3=C(C=C2CCN1C)OCO3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CC1=C2C=CC(C)=C2C=C(C(C)C)C=C1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C1CCN2CC3CC(CN4CCCCC34)C2C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CS(C)=O,0,0,0,0,0,0,0,0,0,0,1,0,1,0
OCCN1CCN(CCC=C2C3=CC=CC=C3SC3=C2C=C(C(F)(F)F)C=C3)CC1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CN(C)C1=CC=C(C(=C2C=CC(=[N+](C)C)C=C2)C2=CC=C(N(C)C)C=C2)C=C1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
NC1=CC=C(S(=O)(=O)NC2=NC=CS2)C=C1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CS(=O)(=O)NC1=C(OC2=CC=CC=C2)C=C([N+](=O)[O-])C=C1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CSCC1CN(N=CC2=CC=C([N+](=O)[O-])O2)C(=O)O1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[N+]3=C4C=CC=NN4C=C3)CSC12)C1=NSC(N)=N1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC1(C)SC2C(NC(=O)CC3=CC=CC=C3)C(=O)N2C1C(=O)[O-],0,0,0,0,1,0,1,0,0,0,0,0,0,0
CCC1=C(C(=O)C2=CC(Br)=C(O)C(Br)=C2)C2=CC=CC=C2O1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CC(O)C1C(=O)N2C(C(=O)[O-])=C(SC3CN4C=NC=[N+]4C3)C(C)C12,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC1=NC=C(CNC(=O)N(CCCl)N=O)C(N)=N1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[CH-]=NCC(C)(C)OC,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CCC1=C2CN3C(=CC4=C(COC(=O)C4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(N4CCCCC4)CC3)C=C12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
CC1=NC2=C(C=C(CN(C)C3=CC=C(C(=O)NC(CCC(=O)O)C(=O)O)S3)C=C2)C(=O)N1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COC1=C(OC)C(=O)C(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)=C(C)C1=O,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CCC1(O)CC2CN(CCC3=C(NC4=CC=CC=C34)C(C(=O)OC)(C3=CC4=C(C=C3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CCOC(=O)C(CCC1=CC=CC=C1)NC1CCCN2CCCC(C(=O)O)N2C1=O,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCCCCCCCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C([N+](=O)[O-])C=C1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(OP(=O)(O)O)C(O)C2O)N(C)C1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
CC1(C)SC2C(N3C(=O)C(C4=CC=CC=C4)NC3(C)C)C(=O)N2C1C(=O)O,0,0,0,0,1,0,0,0,0,0,0,0,0,0
O=C(CC1=CC=CS1)NC1C(=O)N2C(C(=O)[O-])=C(C[N+]3=CC=CC=C3)CSC12,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC(=CC(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,0,0,0,0,0,0,0,0,1,1,0,0,0,0
C[N+]1(C)C2CCC1CC(OC(=O)C(CO)C1=CC=CC=C1)C2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C2N(CCCCN3C=NC(C4=CN=CC=C4)=C3)C(=O)OC12C,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CN(C)C1=C2CC3CC4C(N(C)C)C(=O)C(C(N)=O)=C(O)C4(O)C(=O)C3=C(O)C2=C(O)C(NC(=O)CNC(C)(C)C)=C1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NCC(=O)NC(CCCN)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC(C(C)CC(=O)O)C(=O)NC(CC(=O)C2=CC=CC=C2N)C(=O)OC1C,0,0,0,0,1,0,0,0,0,0,0,0,0,0
O=S(=O)([O-])[O-],1,0,0,0,0,1,0,0,0,0,0,0,0,0
CC(C)(CO)C(O)C(=O)NCCC(=O)[O-],1,0,0,0,0,0,0,0,1,0,0,0,0,0
OB(O)O,0,0,0,0,0,0,1,0,0,0,0,0,0,0
O=S([O-])([O-])=S,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CN(CC1=CC=C(C(C)(C)C)C=C1)CC1=CC=CC2=CC=CC=C12,0,0,0,0,0,0,0,0,1,0,0,0,0,0
O=[N+]([O-])C1=C(C2=CNC=C2Cl)C=CC=C1Cl,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CCOC1OC(C(COCC2=CC=CC=C2)OCC2=CC=CC=C2)C(OCC2=CC=CC=C2)C1O,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CNC(=O)C1=C(I)C(C(=O)O)=C(I)C(NC(=O)CCCCC(=O)NC2=C(I)C(C(=O)NC)=C(I)C(C(=O)O)=C2I)=C1I,0,1,0,0,0,0,0,0,0,0,0,0,0,0
O=C(CCCN1CCC(O)(C2=CC=C(Br)C=C2)CC1)C1=CC=C(F)C=C1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCN(CC3=CC=CC=C3)C2)C1C1=CC=CC([N+](=O)[O-])=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CC1=CC=C(C2(O)CCN(CCCC(=O)C3=CC=C(F)C=C3)CC2)C=C1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CCOC(CN1CCN(CC(C)C(=O)C2=CC=CC=C2)CC1)C1=CC=CC=C1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCN(CC)C(=O)C1(C2=CC=CC=C2)CC1CN,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CN(C)CCC=C1C2=CC=CC=C2C(C)(C)C2=CC=CC=C12,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC(C)C1CCC(C(=O)NC(CC2=CC=CC=C2)C(=O)O)CC1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COC1=C(C23CC4CC(CC(C4)C2)C3)C=C(C2=CC3=C(C=C2)C=C(C(=O)O)C=C3)C=C1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CCOC1=CC=C(NC(=O)CC(C)O)C=C1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CN(C1=NC=CC(=O)N1)C1CCN(C2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)CC1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C21,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CCOC(=O)C(CCC1=CC=CC=C1)NC1CSC(C2=CC=CS2)CN(CC(=O)O)C1=O,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O=C(NC(CC1=CC(=O)NC2=CC=CC=C12)C(=O)O)C1=CC=C(Cl)C=C1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)CC1=CC=C(C(C)C(=O)OCC2=CC=CC=N2)C=C1,0,0,0,0,0,0,0,1,0,1,1,0,1,0
CC1=C(C)C(=O)C(C(CCCCCC(=O)O)C2=CC=CC=C2)=C(C)C1=O,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C=CCCCCCCCCC(=O)[O-],0,0,0,0,0,0,0,0,1,0,0,0,0,0
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2CC2)CC(O)CC1O,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NC(N)=NCCCC(N)C(=O)O,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NC(=S)NS(=O)(=O)C1=CC=C(N)C=C1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CCSC1=CC=C2SC3=CC=CC=C3N(CCCN3CCN(C)CC3)C2=C1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
O=C(CS(=O)CC1=CC=CO1)NCC=CCOC1=NC=CC(CN2CCCCC2)=C1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCOC(=O)C1=CN=C(C#CC2=CC3=C(C=C2)SCCC3(C)C)C=C1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CCOC(=O)COC1=CC2=C(C=C1)C(=O)C=C(C1=CC=CC=C1)O2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NCC1CCC(C(=O)O)CC1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CC(O)CN1CCN(CC(=O)[O-])CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
O=C(OCC1=CC=CC=C1)C1=CC=CC=C1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CC(C)(C)CC(C)(C)C1=CC=C(OCCOCC[N+](C)(C)CC2=CC=CC=C2)C=C1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
COC1=NC(OC)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC(CN1C2=CC=CC=C2SC2=CC=CN=C21)N(C)C,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CC1=C(CN2CCN(C3=C(F)C=C4C(=O)C(C(=O)O)=C5SC(C)N5C4=C3)CC2)OC(=O)O1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC1CCC2=C3C(=CC(F)=C2N2CCC(O)CC2)C(=O)C(C(=O)O)=CN31,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC1=CC=C(O)C(C(CCN(C(C)C)C(C)C)C2=CC=CC=C2)=C1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CC12CCC3C4CCC(=O)C(O)=C4CCC3C1CCC2OC(=O)CCC1CCCC1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC1(CC)C(=O)NCC(C)C1=O,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)CC1=CC=CC=C1)C(C)(C)CC1=CC=CC=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CC1COC2=C3C(=CC(F)=C2C2(N)CC2)C(=O)C(C(=O)O)=CN31,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NC1=NC(=O)N(C2OC(CO)C(O)C2(F)F)C=C1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CSC12)C1=CSC(N)=N1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CCCCCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,0,0,0,0,0,0,0,0,0,0,1,0,0,1
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(CC1=CC=CC=C1)NC(=O)C(CC(N)=O)NC(=O)C1=CC=C2C=CC=CC2=N1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC12CCC3C4=C(C=C(O)C=C4)CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1CCC2O,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C=CC1=C(C)C2=CC3=NC(=CC4=C(C)C(CCC(=O)OC)=C(C=C5N=C(C=C1N2)C(C)=C5CCC(=O)O)N4)C1(C)C3=CC=C(C(=O)OC)C1C(=O)OC,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CC(CO)NC(=O)C1C=C2C3=CC=CC4=C3C(=CN4)CC2N(C)C1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
O=C1CCC2=C(C=C(OCCCCN3CCN(C4=C(Cl)C(Cl)=CC=C4)CC3)C=C2)N1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CCN1CCCC(OC(=O)C(C2=CC=CC=C2)C2=CC=CC=C2)C1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NCC1=CC=C(S(N)(=O)=O)C=C1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
O=[Mg],1,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCC(OC(C2=CC=CC=C2)C2=CC=CC=C2)CC1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=CC2=CC=CC=C2)C1C1=CC([N+](=O)[O-])=CC=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CN(C)CCC(C1=CC=CC=C1)C1=CC=CC=N1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CCC(=O)N(C1=CC=CC=C1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC(OC1=CC=CC=C1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-],0,0,0,0,1,0,0,0,0,0,0,0,0,0
CNCCC(OC1=CC=CC2=CC=CC=C12)C1=CC=CS1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC12CCC3C(CCC45OC4C(O)=C(C#N)CC35C)C1CCC2O,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CN(CC(O)CO)C(=O)C1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(NC(=O)C(CO)CO)=C1I,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C=CCC1=CC=CC=C1OCC(O)CNC(C)C,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CC1=C(NC2=CC=CC=C2C(=O)O)C=CC=C1Cl,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NCCC1=CC=NN1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CCC(C(=O)NC(N)=O)C1=CC=CC=C1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC(=O)OC1=CC=C(C2(C3=CC=C(OC(C)=O)C=C3)OC3=CC=CC=C3NC2=O)C=C1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CN(C)CCC=C1C2=CC=CC=C2COC2=CC=C(CC(=O)O)C=C12,0,0,0,0,0,0,1,0,0,1,0,0,0,0
O=C([O-])C=CC(=O)[O-],0,0,0,0,0,1,0,0,0,0,0,0,0,0
CCCC1=NC=CC(C(N)=S)=C1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC(=O)NC1=NN=C(S([NH-])(=O)=O)S1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CN(C)CCCOC1(CC2=CC=CC=C2)CCCCCC1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NC1=NC(=O)N(C2CSC(CO)O2)C=C1F,0,0,0,0,1,0,0,0,0,0,0,0,0,0
O=S1(=O)OC(C2=CC=C(O)C=C2)(C2=CC=C(O)C=C2)C2=CC=CC=C21,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C[N+]1(CCC(O)(C2=CC=CC=C2)C2=CC=CS2)CCOCC1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C([O-])O,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CCCC1=NC(C(C)(C)O)=C(C(=O)OCC2=C(C)OC(=O)O2)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CC1=CC=CC(C(C)C2=CN=CN2)=C1C,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC1=C(C(=O)O)SC(C2=CC(C#N)=C(OCC(C)C)C=C2)=N1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COC1=CC=C2[N-]C(S(=O)CC3=NC=C(C)C(OC)=C3C)=NC2=C1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(OC1=CC=C(Cl)C=C1)C(=O)O[Al]OC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NC1=NC2=C(C(=O)N1)N(C=O)C(CNC1=CC=C(C(=O)NC(CCC(=O)[O-])C(=O)[O-])C=C1)CN2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(OC1=CC=C(Cl)C=C1)C(=O)OCCCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CC1=CC=CC=C1C(=O)NC1=CC(C)=C(C(=O)N2CCCC(O)C3=C2C=CC(Cl)=C3)C=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C=CC[N+]12CCC34C5=CC=CC=C5N5C=C6C7CC8C9(CC[N+]8(CC=C)CC7=CCO)C7=CC=CC=C7N(C=C(C(CC31)C(=CCO)C2)C54)C69,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COC1=NC=CN=C1NS(=O)(=O)C1=CC=C(N)C=C1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC(=O)C1CCC2C3C=CC4=CC(=O)CCC4(C)C3CCC12C,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COC1=C(OC)C=C2C(CCN3CCN(C4=CC=CC=C4)CC3)=C(C)NC2=C1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CCN(CC)C1=CC(C)=NC2=NC=NN12,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CCCCCOC(=O)NC1=NC(=O)N(C2OC(C)C(O)C2O)C=C1F,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CC(N)C(O)C1=CC=CC=C1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CC1=NC=C(C[N+]2=CSC(CCOP(=O)(O)OP(=O)(O)O)=C2C)C(N)=N1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCN1CCCC1CNC(=O)C1=C(OC)C=CC(S(N)(=O)=O)=C1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
COC1=CC=CC=C1OC1=C(OCCO)N=C(C2=NC=CC=N2)N=C1NS(=O)(=O)C1=CC=C(C(C)(C)C)C=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CN(CCCCCCN(C)C(=O)OC1=CC=C[N+](C)=C1)C(=O)OC1=CC=C[N+](C)=C1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC(=O)OCC(=O)C1(O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC21C,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC([N+](=O)[O-])=C2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
COC1=CC=CC(C(=O)CCNC(C)C(O)C2=CC=CC=C2)=C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CC(C)(CO)C(O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(O)C(C)(C)CO,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C32)N1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CCCC(=O)NC1=NC=NC2=C1N=CN2C1OC2COP(=O)([O-])OC2C1OC(=O)CCC,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CC1OC(OC2CCC3(C)C(CCC4C3CC(O)C3(C)C(C5=CC(=O)OC5)CCC43O)C2)CC(O)C1OC1CC(O)C(OC2CC(O)C(OC3OC(CO)C(O)C(O)C3O)C(C)O2)C(C)O1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O=C1NC(=O)N(C2CCCO2)C=C1F,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O=C1CN=C(C2=CC=CC=N2)C2=C(C=CC(Br)=C2)N1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CCOC1=CC=C2N=C3C=C(N)C=CC3=C(N)C2=C1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
CC1=C(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)[O-])C(C2=C(F)C=CC=C2Cl)=NO1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C=CCOC1=C(Cl)C=C(CC(=O)O)C=C1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CN1C(=O)CC(=O)N(C2=CC=CC=C2)C2=C1C=CC(Cl)=C2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CCC1C(C)=NN=C(C2=CC(OC)=C(OC)C=C2)C2=CC(OC)=C(OC)C=C21,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC(=C(CCOP(=O)(O)O)SC(=O)C1=CC=CC=C1)N(C=O)CC1=CN=C(C)N=C1N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
